,Unité d’Enseignement,VHS C/TD/TP,VHH Total C/TD/TP,V.H. Hebdomadaire,V.H. Hebdomadaire,V.H. Hebdomadaire,V.H. Hebdomadaire,Coef,Crédits,Mode d’évaluation,Mode d’évaluation
,Unité d’Enseignement,VHS C/TD/TP,VHH Total C/TD/TP,C,TD,TP,Travail Personnel,Coef,Crédits,Continu,Examen
0,UE Fondamentales 6.1,172h30,11h30,5h,3h,3h30,0,7,11,,
1,Machine Learning,112h30,7h30,3h,1h30,3h,,4,6,40%,60%
2,Numerical Methods and Optimisation,60h,4h,2h,1h30,0h30,,3,5,40%,60%
3,UE Methodologiques 6.1,187h30,14,4h30,4h30,5h,3h,11,17,,
4,Time Series Analysis and Classification,52h30,3h30,1h30,1h30,0h30,,3,5,40%,60%
5,Advanced Databases,67h30,4h30,1h30,1h30,1h30,,3,5,40%,60%
6,Computer and network Security,67h30,4h30,1h30,1h30,1h30,,3,5,40%,60%
7,Group-Project,22h30,1h30,,,1h30,3h,2,2,100%,
8,UE Transversales 6.1,30h,2h,1h30,0h30,0,0,1,2,,
9,Project Management Project Management,30h,2h,1h30,0h30,,,1,2,40%,60%
10,Sous-Total par Semaine,,27h30,11h,8h,8h30,3h,19,30,,
11,Total Semestre 2 (15 Semaines),412h30,412h30,165h,120h,127h30,45h,19,30,,
